id,county,pop_over_25,median_income,median_income_no_hs,median_income_hs,median_income_some_college,median_income_college,median_income_graduate_degree
16075,"Payette County, Idaho",14583,24378,15843,22191,24375,37895,48125
16083,"Twin Falls County, Idaho",49739,27555,19331,24480,26713,35803,50952
17001,"Adams County, Illinois",46098,31522,19965,27235,31770,37350,51409
17007,"Boone County, Illinois",34343,35691,18840,30098,36868,57364,69256
17011,"Bureau County, Illinois",24144,30947,25889,27607,31025,38989,48348
17019,"Champaign County, Illinois",116444,34408,16001,25713,31828,39249,51646
17021,"Christian County, Illinois",24222,30235,27024,25833,30572,42395,49913
17027,"Clinton County, Illinois",26553,36570,16200,32179,35279,49540,65913
17029,"Coles County, Illinois",31916,29024,11661,25240,26118,36854,50606
17031,"Cook County, Illinois",3511792,37309,21146,27195,32839,51546,68668
17037,"DeKalb County, Illinois",59975,35384,15224,30015,34991,41386,57150
17043,"DuPage County, Illinois",624542,45858,22835,31922,37753,55927,78967
17049,"Effingham County, Illinois",23025,32106,22901,30254,28331,44038,63750
17051,"Fayette County, Illinois",15201,26935,18655,25912,26908,31683,69485
17055,"Franklin County, Illinois",27296,29049,21652,24915,27046,40650,51491
17057,"Fulton County, Illinois",26083,31690,16803,30057,31461,41159,45304
17063,"Grundy County, Illinois",32751,40016,11332,27513,42130,56615,60753
17073,"Henry County, Illinois",34206,34200,22418,26877,36495,48340,59182
17075,"Iroquois County, Illinois",20380,31623,17423,29135,32849,42044,50650
17077,"Jackson County, Illinois",34400,27345,15618,25876,23203,31101,45711
17081,"Jefferson County, Illinois",26856,30423,16787,26852,30795,38275,56722
17083,"Jersey County, Illinois",15566,34614,32619,30743,31548,43025,54890
17085,"Jo Daviess County, Illinois",16456,30890,21667,30344,28844,38125,54444
17089,"Kane County, Illinois",330342,37184,20788,27524,37419,56857,73026
17091,"Kankakee County, Illinois",73199,35068,16970,30284,35809,44729,54739
17093,"Kendall County, Illinois",73847,46702,27063,35236,43811,60051,62402
17095,"Knox County, Illinois",36414,29839,14812,25537,30778,37875,46356
17097,"Lake County, Illinois",450195,43025,21035,29675,37131,60870,89201
17099,"LaSalle County, Illinois",78077,31869,16619,27836,33134,44047,60292
17103,"Lee County, Illinois",24869,32525,13690,29113,34119,50163,51587
17105,"Livingston County, Illinois",26826,36220,20833,31976,37199,47402,51667
17107,"Logan County, Illinois",21094,32493,20463,27044,30341,51638,60352
17109,"McDonough County, Illinois",18027,30228,17625,23064,26599,35423,51275
17111,"McHenry County, Illinois",201952,42320,22592,31931,40518,58484,74890
17113,"McLean County, Illinois",103320,41272,17521,27556,33427,53788,66828
17115,"Macon County, Illinois",74850,33146,15037,28010,31515,47479,57010
17117,"Macoupin County, Illinois",33027,32074,17569,29233,31455,45524,54500
17119,"Madison County, Illinois",181933,37076,16823,29709,35305,49443,60112
17121,"Marion County, Illinois",26739,29827,18375,25691,30054,40508,52946
17133,"Monroe County, Illinois",23068,42143,50397,32064,34050,50888,77741
17135,"Montgomery County, Illinois",21147,26759,16250,22672,30612,42798,41500
17137,"Morgan County, Illinois",24223,31357,19369,26826,27372,41888,51234
17141,"Ogle County, Illinois",35981,36266,20193,31825,33024,50268,55071
17143,"Peoria County, Illinois",123872,33987,17075,23985,31504,48340,62770
17145,"Perry County, Illinois",15391,31633,25639,29334,32437,42905,41429
17157,"Randolph County, Illinois",23532,30707,20339,26695,33788,40410,49097
17161,"Rock Island County, Illinois",100912,32244,20207,26528,31850,43115,69179
17163,"St. Clair County, Illinois",177477,35483,20123,26464,31556,50133,67851
17165,"Saline County, Illinois",17260,26326,13710,25088,27374,40929,45060
17167,"Sangamon County, Illinois",135746,36717,14637,27089,34270,48979,63549
17173,"Shelby County, Illinois",15731,33228,45197,29868,31714,49625,51952
17177,"Stephenson County, Illinois",32773,28544,15983,25089,27936,45612,55394
17179,"Tazewell County, Illinois",94303,36316,17564,28268,36254,52946,58679
17183,"Vermilion County, Illinois",54407,32034,19159,30546,31699,46685,47440
17195,"Whiteside County, Illinois",39976,31008,17500,26050,31202,46515,52955
17197,"Will County, Illinois",432884,42219,23005,31383,40192,55752,71245
17199,"Williamson County, Illinois",46694,30647,19836,22871,29819,43268,55313
17201,"Winnebago County, Illinois",195846,32308,19779,27283,31844,46250,62133
17203,"Woodford County, Illinois",25832,40579,12003,34529,35817,53465,68813
18001,"Adams County, Indiana",20755,31788,25853,26857,34294,44038,45152
18003,"Allen County, Indiana",230982,34502,19748,29450,33165,43926,62017
18005,"Bartholomew County, Indiana",52864,36031,18891,27386,35176,49976,75382
18011,"Boone County, Indiana",38949,41321,14680,31170,37086,55465,75047
18015,"Carroll County, Indiana",13764,31842,18298,26869,31853,50169,61327
18017,"Cass County, Indiana",25809,27279,17500,27101,30711,35932,62277
18019,"Clark County, Indiana",76589,35352,23310,30175,35606,45069,61911
18021,"Clay County, Indiana",18244,30985,17222,29402,31031,43695,56445
18023,"Clinton County, Indiana",21493,29323,23863,27643,31367,48304,42083
18027,"Daviess County, Indiana",19958,32147,24684,29383,35696,44487,51340
18029,"Dearborn County, Indiana",33990,37056,20656,31974,40561,44102,58135
18031,"Decatur County, Indiana",17417,31476,30261,29556,30536,44743,60417
18033,"DeKalb County, Indiana",28008,31439,23908,30167,31157,45183,53161
18035,"Delaware County, Indiana",71117,30028,15893,23500,27936,41166,53744
18037,"Dubois County, Indiana",28696,31976,21887,29757,31488,46365,46833
18039,"Elkhart County, Indiana",125609,30722,22550,29416,31005,38201,54224
18041,"Fayette County, Indiana",16629,27372,17543,22866,31296,41813,55385
18043,"Floyd County, Indiana",51115,35874,20876,27906,36258,51878,68207
18047,"Franklin County, Indiana",15517,34811,25972,31654,35152,44105,52125
18049,"Fulton County, Indiana",14004,28421,24386,26235,29024,43673,28981
18051,"Gibson County, Indiana",22787,35006,18004,29606,37407,46493,52500
18053,"Grant County, Indiana",45249,29647,12831,26220,30505,36255,54608
18055,"Greene County, Indiana",22813,30877,17457,27446,31094,46090,48707
18057,"Hamilton County, Indiana",186292,50381,27365,27210,40443,56938,75487
18059,"Hancock County, Indiana",47673,40223,23292,31805,39132,51067,63283
18061,"Harrison County, Indiana",26862,32657,20748,29954,32475,47316,56063
18063,"Hendricks County, Indiana",98953,42436,20932,32338,40514,53280,66749
18065,"Henry County, Indiana",34754,28412,17009,26311,29529,37479,52201
18067,"Howard County, Indiana",57021,31166,16043,24427,31604,41966,55517
18069,"Huntington County, Indiana",24779,30643,24255,26218,31114,42290,51176
18071,"Jackson County, Indiana",29147,32042,25779,27381,35579,46174,52404
18073,"Jasper County, Indiana",21940,34036,24868,32120,32121,42099,53644
18075,"Jay County, Indiana",13941,29790,17432,28345,33265,36032,38618
18077,"Jefferson County, Indiana",21847,27468,16654,24908,26705,41981,52348
18079,"Jennings County, Indiana",18734,31387,19896,27156,35056,40697,53106
18081,"Johnson County, Indiana",94261,37406,21739,30272,35437,48058,69359
18083,"Knox County, Indiana",25038,28942,18750,25400,29763,41436,54335
18085,"Kosciusko County, Indiana",51090,32254,23564,30581,32208,41308,59549
18087,"LaGrange County, Indiana",21310,30821,32073,29412,27279,40362,43188
18089,"Lake County, Indiana",325576,34060,20193,29065,32747,47187,61616
18091,"LaPorte County, Indiana",76972,32385,18838,30320,32798,42954,56852
18093,"Lawrence County, Indiana",31865,31212,17263,26923,32368,47551,51667
18095,"Madison County, Indiana",89180,29876,16384,25472,29255,40784,51940
18097,"Marion County, Indiana",597336,31428,17118,25723,29696,43480,59311
18099,"Marshall County, Indiana",30851,31870,22255,29095,32326,41651,58387
18103,"Miami County, Indiana",24923,29469,14075,27425,31253,46149,46923
18105,"Monroe County, Indiana",77728,31518,17263,28314,30403,36293,45854
18107,"Montgomery County, Indiana",25258,31495,19851,30256,31438,40764,50200
18109,"Morgan County, Indiana",46923,33523,21260,26897,37216,52237,61250
18113,"Noble County, Indiana",31307,32503,23475,30943,32636,40238,57363
18119,"Owen County, Indiana",14930,29192,25223,25006,31395,42648,51134
18127,"Porter County, Indiana",111558,41051,19578,34102,39644,46358,63504
18129,"Posey County, Indiana",17572,36116,16823,29697,36818,47318,52800
18133,"Putnam County, Indiana",24601,34674,21429,29336,36304,40279,62563
18135,"Randolph County, Indiana",17697,26771,20605,26061,27231,41739,48188
18137,"Ripley County, Indiana",19191,32723,18529,29181,34656,44216,53750
18141,"St. Joseph County, Indiana",171853,31132,16579,26147,28069,41644,57250
18143,"Scott County, Indiana",16259,30544,28958,28150,29099,45188,45653
18145,"Shelby County, Indiana",30359,33151,21918,30958,32215,45050,57592
18147,"Spencer County, Indiana",14473,32414,18488,31341,36314,42175,49889
18149,"Starke County, Indiana",15780,30342,20414,25645,31399,35120,51910
18151,"Steuben County, Indiana",23071,28484,16439,27278,26379,42350,55604
18153,"Sullivan County, Indiana",15014,30320,9633,26525,29932,51000,56696
18157,"Tippecanoe County, Indiana",97887,32631,21662,26705,33087,41143,50288
18163,"Vanderburgh County, Indiana",120974,31973,18212,27027,30889,41576,58028
18167,"Vigo County, Indiana",69579,28685,18223,25148,27295,39457,54030
18169,"Wabash County, Indiana",22111,29958,22159,26297,28207,37461,51429
18173,"Warrick County, Indiana",41020,36731,19167,28427,34368,50068,70611
18175,"Washington County, Indiana",18819,29543,20751,27266,31045,40354,61056
18177,"Wayne County, Indiana",46758,27406,14960,23472,27251,42312,52413
18179,"Wells County, Indiana",18750,31877,18836,30690,30392,43202,56853
18181,"White County, Indiana",16935,29411,23214,25807,29246,41833,52015
18183,"Whitley County, Indiana",22762,32242,20161,29688,34058,39023,54510
19011,"Benton County, Iowa",17531,36402,26781,30886,35407,49234,56310
19013,"Black Hawk County, Iowa",82426,32426,22490,27286,30843,42234,58850
19015,"Boone County, Iowa",18229,34407,20260,29158,34281,41636,60685
19017,"Bremer County, Iowa",16015,36679,31455,28770,36264,42261,54329
19019,"Buchanan County, Iowa",14009,35249,27232,33829,30674,46076,58077
19021,"Buena Vista County, Iowa",12999,28866,23844,25169,31262,39129,51890
19027,"Carroll County, Iowa",14190,31597,20688,29160,31668,34784,60042
19033,"Cerro Gordo County, Iowa",31131,30160,22645,25090,29440,43967,57771
19045,"Clinton County, Iowa",33491,32112,16272,27239,31536,42106,60890
19049,"Dallas County, Iowa",47139,43320,21024,31590,40107,55480,78972
19057,"Des Moines County, Iowa",28099,28504,16775,25016,28589,37054,66806
19061,"Dubuque County, Iowa",63042,33435,21254,26966,32467,43200,51755
19065,"Fayette County, Iowa",14028,30150,21711,25832,28761,38060,55521
19087,"Henry County, Iowa",13819,31112,31163,28110,30382,40938,46875
19097,"Jackson County, Iowa",13788,30915,17122,27500,30684,39018,37436
19099,"Jasper County, Iowa",25745,34061,23750,28284,32401,46620,53306
19103,"Johnson County, Iowa",80016,40135,25351,29704,35076,40127,60231
19105,"Jones County, Iowa",14685,32829,16250,31052,32343,42682,41607
19111,"Lee County, Iowa",25069,31101,19101,30111,30030,33209,54625
19113,"Linn County, Iowa",141839,38682,22386,28219,35628,51185,66223
